,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
729,Flight,1929,Passed,N/A,110 min,"Action, Adventure, Romance, War",Frank Capra,"Ralph Graves (story), Frank Capra (dialogue)","Jack Holt, Lila Lee, Ralph Graves, Alan Roscoe",A Marine flyer and his flight school mentor fall for the same beautiful nurse.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTk0NjAxNjA0OV5BMl5BanBnXkFtZTgwODk1NTE3MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,260,tt0019884,movie,N/A,N/A,N/A,N/A,True,
730,The Flying Fleet,1929,Passed,19 Jan 1929,100 min,"Adventure, Drama, Romance",George W. Hill,"Frank Wead (story), Byron Morgan (story), Richard Schayer (screen play), Joseph Farnham (titles)","Ramon Novarro, Ralph Graves, Anita Page",The story follows six midshipman after they graduate from Annapolis. Their goal is to become U.S. Navy pilots and three of them are eliminated at the San Diego Naval Base. The remaining ...,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BNjE2MzM2NDMwM15BMl5BanBnXkFtZTgwMjYzNjYzMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,237,tt0019886,movie,N/A,N/A,N/A,N/A,True,
731,The Flying Scotsman,1929,Not Rated,01 May 1929,50 min,"Crime, Drama",Castleton Knight,"Victor Kendall, Garnett Weston","Gordon Harker, Alec Hurley, Pauline Johnson, Moore Marriott",In 2016 the iconic Flying Scotsman returned to Britain's rails after an absence of over ten years. It embarked upon a triumphant tour of Great Britain where it was greeted with huge enthusiasm and affection by an adoring public.,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMTk0MjczMzU3N15BMl5BanBnXkFtZTcwNjM1NDkyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,109,tt0019889,movie,N/A,N/A,N/A,N/A,True,
732,Woman in the Moon,1929,Not Rated,06 Feb 1931,95 min,"Adventure, Comedy, Drama, Romance, Sci-Fi",Fritz Lang,"Thea von Harbou (script by), Thea von Harbou (the novel ""Frau im Mond"" by)","Willy Fritsch, Gerda Maurus, Klaus Pohl, Fritz Rasp",A tenacious scientist blasts off for the moon in hopes of riches that may be found there.,"None, German",Germany,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTQ4NzM2NDA0MV5BMl5BanBnXkFtZTgwMDgzMDM1MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,7.3,"3,077",tt0019901,movie,23 May 2017,N/A,"Universum Film A.G., Fritz Lang-Film",N/A,True,
733,Miss Else,1929,N/A,08 Mar 1929,90 min,Drama,Paul Czinner,"Arthur Schnitzler (novel), Paul Czinner (manuscript)","Elisabeth Bergner, Albert Bassermann, Albert Steinrück, Adele Sandrock",A young woman reluctantly decides to compromise her values in order to save her family from bankruptcy and disgrace.,"None, German",Germany,N/A,https://m.media-amazon.com/images/M/MV5BYzllODM0NDMtOGZmMi00MjE5LTllNDYtMDE4ODA5ZGY2YTUyXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,137,tt0019909,movie,N/A,N/A,N/A,N/A,True,
734,The Girl in the Show,1929,Passed,31 Aug 1929,82 min,Comedy,Edgar Selwyn,"Kenyon Nicholson (play), John Golden (play), Edgar Selwyn (adaptation), Edgar Selwyn (added dialogue), Joseph Farnham (titles)","Bessie Love, Raymond Hackett, Edward J. Nugent, Mary Doran",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzAxNmEyZDQtNDIzZS00NDZjLWJkZjUtNWE5YTEzNWNhN2E3XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,115,tt0019929,movie,N/A,N/A,N/A,N/A,True,
735,Glorifying the American Girl,1929,Passed,07 Dec 1929,95 min,"Comedy, Drama, Musical",Millard Webb,"J.P. McEvoy (from the story by), Millard Webb (from the story by)","Mary Eaton, Eddie Cantor, Helen Morgan, Rudy Vallee","The rise of a showgirl, Gloria Hughes, culminating in a Ziegfeld extravaganza ""Glorifying the American Girl"".",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOWJiOGYzYzItMTk2My00YTllLWI3NzMtNDJjOWNmMzI5MjEwXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}]",N/A,5.8,642,tt0019933,movie,11 Aug 2016,N/A,"Paramount Pictures, Long Island Studios",N/A,True,
736,The Godless Girl,1928,Passed,11 Mar 1929,113 min,Drama,Cecil B. DeMille,"Jeanie Macpherson (story), Beulah Marie Dix (titles), Jeanie Macpherson (titles)","Lina Basquette, Marie Prevost, Tom Keene, Noah Beery","Two teenagers, one an atheist and the other a Christian, fall in love at a brutal reform school.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjY3ZjIzNDktZmY2MS00MGM0LWIwOGUtMzkyMmQ4ZmViY2UzXkEyXkFqcGdeQXVyNTUyNzA5ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}]",N/A,7.2,689,tt0019935,movie,N/A,N/A,C.B. DeMille Productions,N/A,True,
737,Gold Diggers of Broadway,1929,N/A,30 Aug 1929,101 min,"Comedy, Musical",Roy Del Ruth,"De Leon Anthony (titles), Avery Hopwood (play), Robert Lord (story)","Nancy Welford, Conway Tearle, Winnie Lightner, Ann Pennington",Three Broadway chorus girls seek rich husbands.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZTExYTRlMGQtYjIzNC00Nzc0LTkyZWItYWI5ODg5OTk5NWJjXkEyXkFqcGdeQXVyMjYzMDY1NTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,114,tt0019936,movie,N/A,N/A,Warner Bros.,N/A,True,
738,China Express,1929,N/A,20 Dec 1929,62 min,Drama,Ilya Trauberg,"Leonid Iyerikhonov, Ilya Trauberg, Sergey Tretyakov (story)","Sergei Minin, Igor Chernyak, I. Arbenin, Yakov Gudkin","In a train where social classes are strictly separated (wealthy in the front, poor in the back), a revolt erupts.","None, Russian",Soviet Union,N/A,https://m.media-amazon.com/images/M/MV5BYzhhYmMzODYtMDZlNy00ODlkLTk3NjMtNTBmNGZlNzdjMTc2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjMxMjkwMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,111,tt0019939,movie,N/A,N/A,N/A,N/A,True,
739,The Great Divide,1929,Passed,17 Mar 1930,72 min,Western,Reginald Barker,"William Vaughn Moody (story), Fred Myton (screen version & dialogue), Paul Perez (screen version & dialogue), Fred Myton (titles), Paul Perez (titles)","Dorothy Mackaill, Ian Keith, Myrna Loy, Creighton Hale","Steven Ghent has decided to sell the mine he's owned for fifteen years, located at the border of Mexico where the Great Divide ends. When the representatives are delayed for a few days, he ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZDRlYjQ2MjctZGRlZS00YjQyLWI2MjItMjNlZTE2YThhZTBkXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,120,tt0019945,movie,N/A,N/A,N/A,N/A,True,
740,The Great Gabbo,1929,Passed,12 Sep 1929,92 min,"Drama, Musical, Romance","James Cruze, Erich von Stroheim","Ben Hecht (adapted from the story by), Hugh Herbert (dialogue)","Erich von Stroheim, Betty Compson, Donald Douglas, Marjorie Kane","An insanely, egocentric ventriloquist, even though he is possessed by his wooden dummy, is in love with a dancer who is in love with another. The dummy gives advice to the ventriloquist.","English, German",USA,N/A,https://m.media-amazon.com/images/M/MV5BODc1MDIxMzI1MV5BMl5BanBnXkFtZTgwMDU1NDU5MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",N/A,6.1,716,tt0019946,movie,18 Aug 2016,N/A,James Cruze Productions,N/A,True,
741,The Greene Murder Case,1929,N/A,11 Aug 1929,69 min,"Drama, Mystery",Frank Tuttle,"Bartlett Cormack (dialogue), Louise Long (screenplay), S.S. Van Dine (novel)","William Powell, Florence Eldridge, Ullrich Haupt, Jean Arthur","At the end of each year, the extremely wealthy but odious Greene family gets together at the spooky old family castle to establish terms of a will, though they despise each other. This year...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZGE2YTg5NzMtYzgwOS00OTY3LWFjYWItNjcwOGMzMjZjZDA0L2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,187,tt0019949,movie,N/A,N/A,N/A,N/A,True,
742,Half Marriage,1929,Passed,13 Oct 1929,68 min,"Drama, Romance",William J. Cowen,"Jane Murfin (screen play), George Kibbe Turner (original story)","Olive Borden, Morgan Farley, Ken Murray, Ann Greenway",A young couple marries in secret. Judy's afraid her parents won't approve of Dick and she'll lose her generous allowance. Her parents bring her home from the city where she's been studying ...,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjg4ZDJmOTItZjFhYS00ODU0LTkwOTEtZmE2ODFkYTYwZjI0XkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,108,tt0019957,movie,N/A,N/A,N/A,N/A,True,
743,Hallelujah,1929,Passed,20 Aug 1929,109 min,"Drama, Musical",King Vidor,"Wanda Tuchock (scenario), Richard Schayer (treatment), Ransom Rideout (dialogue), King Vidor (story)","Daniel L. Haynes, Nina Mae McKinney, William Fountaine, Harry Gray",A sharecropper decides to become a preacher after falling for a vamp from the city.,English,USA,Nominated for 1 Oscar. Another 2 wins.,https://m.media-amazon.com/images/M/MV5BZjg3MzgxMDUtNzc4Yi00NGJiLThhYWMtNTdkMmUyNjQ3NzgwXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",N/A,6.8,"1,621",tt0019959,movie,23 May 2016,N/A,Metro Goldwyn Mayer,N/A,True,
744,Hell's Heroes,1929,Passed,05 Jan 1930,68 min,"Action, Crime, Drama, Western",William Wyler,"Peter B. Kyne (from the story by: ""The Three Godfathers""), Tom Reed (adaptation), C. Gardner Sullivan (supervising story chief)","Charles Bickford, Raymond Hatton, Fred Kohler, Fritzi Ridgeway","When three men rob a bank, a guard is killed and the three bandits escape into the desert where they lose their horses in a storm. Finding a woman who gives birth, they are made godfathers ...","English, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BNWZkYTc3ZDctMzBkMS00Y2YwLWJkOWYtYzc3NTU4MzQ5ZmY3XkEyXkFqcGdeQXVyMTYzMTY1MjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,592,tt0019976,movie,N/A,N/A,N/A,N/A,True,
745,Her Private Affair,1929,Passed,28 Sep 1929,70 min,Drama,Paul L. Stein,"Herman Bernstein (adaptation), Herman Bernstein (translation), Francis Edward Faragoh (dialogue), Francis Edward Faragoh (screenplay), Leo Urvantzov (play)","Ann Harding, Harry Bannister, John Loder, Kay Hammond",Her Private Affair is a 1929 drama film directed by Paul L. Stein and starring Ann Harding. It was produced and distributed by the Pathé Exchange company. It is a sound film using the RCA Photophone sound-on-film sound system.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTYwMDE0OTIxOV5BMl5BanBnXkFtZTYwNDExOTc5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,124,tt0019979,movie,09 Sep 2003,N/A,N/A,N/A,True,
746,High Voltage,1929,Passed,29 Jun 1929,63 min,"Crime, Drama, Romance",Howard Higgin,"Elliott J. Clawson (story), James Gleason (screen play), Kenyon Nicholson (screen play)","William Boyd, Carole Lombard, Owen Moore, Phillips Smalley","A busload of passengers gets stranded in a snowstorm and take refuge in an abandoned church, where they run into a mysterious man who may be on the run from the law.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjMyNjM2NDAtNDRiZi00ZmU5LTk2ZTUtMmU4NDdiMzY1NWU4XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]",N/A,5.3,294,tt0019983,movie,30 Jun 2016,N/A,Pathé Exchange,N/A,True,
747,The Hole in the Wall,1929,N/A,27 Apr 1929,73 min,"Drama, Mystery",Robert Florey,"Pierre Collings (adapted by), Frederick J. Jackson (play)","Claudette Colbert, David Newell, Nellie Savage, Edward G. Robinson","Mrs. Ramsey sent Jean Oliver to prison on a false charge. To get even, Jean (disguised as Madame Mystera) plans to kidnap her daughter and turn her into a thief. Love entanglements with a ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODgzMzM0MDQtNmI0ZC00NTQxLWExOTctNmUyNWNlNmI5NDRlXkEyXkFqcGdeQXVyNTY4NjI2OTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,142,tt0019992,movie,N/A,N/A,N/A,N/A,True,
748,The Hollywood Revue of 1929,1929,Passed,23 Nov 1929,130 min,"Comedy, Music","Charles Reisner, Christy Cabanne, Norman Houston","Al Boasberg (dialogue), Robert E. Hopkins (dialogue)","Conrad Nagel, Jack Benny, John Gilbert, Norma Shearer",An all-star revue featuring MGM contract players.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjBlYjY4NGEtOTZiMS00NWZlLWFmYjMtOWQ5M2FiYTU3Yjk4XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]",N/A,5.9,"1,860",tt0019993,movie,N/A,N/A,Metro-Goldwyn-Mayer,N/A,True,
749,Seven Footprints to Satan,1929,Passed,07 Apr 1929,60 min,"Comedy, Crime, Drama, Horror, Mystery, Romance",Benjamin Christensen,"Abraham Merritt (from the novel by), Benjamin Christensen (story), Benjamin Christensen (scenario), Cornell Woolrich (titles)","Thelma Todd, Creighton Hale, Sheldon Lewis, William V. Mong","A young man of society wants to make an expedition to Africa, but his fiancée asks him for help about one of her fathers guests shortly before his planed departure. Her suspects about that ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjA0NzU5NTQwOV5BMl5BanBnXkFtZTgwNDEwMTgxMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,332,tt0020004,movie,N/A,N/A,N/A,N/A,True,
750,I Kiss Your Hand Madame,1929,N/A,20 Mar 1929,66 min,Drama,Robert Land,Rolf E. Vanloo,"Harry Liedtke, Marlene Dietrich, Pierre de Guingand, Károly Huszár","Laurence Gerard has just divorced. While leading fat lover Talandier by the nose, She meets the count Lerski, who now works as waiter but do not tell her. When she hears from her husband he...",German,Germany,N/A,https://m.media-amazon.com/images/M/MV5BODI3ODQ1YmItNTc5Yy00ZDUxLWI5NjAtZjEyY2I5ZmEwY2IyXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,128,tt0020011,movie,N/A,N/A,N/A,N/A,True,
751,The Idle Rich,1929,Passed,15 Jun 1929,80 min,Comedy,William C. de Mille,"Edith Ellis (play), Edgar Franklin (adapted from the story: ""Regular People"" by), Clara Beranger (talking picture play by)","Conrad Nagel, Bessie Love, Leila Hyams, Robert Ober","Millionaire William van Luyn falls in love with his secretary Joan Thayer and marries her. Her family, part of ""the great middle class"" (as blowhard nephew Henry keeps reminding us), is ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTUwNzI3MTY2OV5BMl5BanBnXkFtZTgwMzEwODgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,125,tt0020014,movie,N/A,N/A,N/A,N/A,True,
752,In Old Arizona,1928,Passed,20 Jan 1929,95 min,Western,Irving Cummings,"O. Henry (story ""The Caballero's Way""), Tom Barry (adaptation), Tom Barry (dialogue)","Edmund Lowe, Warner Baxter, Dorothy Burgess","A charming, happy-go-lucky bandit in old Arizona plays cat-and-mouse with the sheriff trying to catch him while he romances a local beauty.","English, Spanish, Italian",USA,Won 1 Oscar. Another 1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMjE0ODAxNzQ0M15BMl5BanBnXkFtZTgwNTk4ODQwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,5.5,955,tt0020018,movie,12 Mar 2017,N/A,N/A,N/A,True,
753,The Informer,1929,N/A,17 Mar 1930,83 min,Drama,Arthur Robison,"Benn W. Levy (dialogue), Liam O'Flaherty (novel)","Lya De Putti, Lars Hanson, Warwick Ward, Carl Harbord","In Ireland, an IRA man betrays a killer to the police, thinking he is his mistress's lover.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BNjNjN2JmNDAtNWEzYi00YTUzLWEwZGUtYjE1Y2Q5YmMzZGM4XkEyXkFqcGdeQXVyNzI5NjM3NDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,191,tt0020025,movie,N/A,N/A,N/A,N/A,True,
754,The Iron Mask,1929,Not Rated,21 Feb 1929,95 min,"Adventure, Drama, History, Romance",Allan Dwan,"Lotta Woods (scenario editor), Douglas Fairbanks (story), Alexandre Dumas (novels)","Belle Bennett, Marguerite De La Motte, Dorothy Revier, Vera Lewis","King Louis XIII of France is thrilled to have born to him a son - an heir to the throne. But when the queen delivers a twin, Cardinal Richelieu sees the second son as a potential for revolution.",English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BNTAzOTM3MGEtZDdjOC00MzIyLThhODktNmM3NzI5OWFlODAxXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.0,"1,167",tt0020030,movie,N/A,"$3,270,000",Elton Corporation,N/A,True,
755,It's a Great Life,1929,Passed,06 Dec 1929,93 min,"Comedy, Musical, Romance",Sam Wood,"Byron Morgan (story), Leonard Praskins (story), Alfred Block (story), Willard Mack (dialogue), Al Boasberg (dialogue)","Rosetta Duncan, Vivian Duncan, Lawrence Gray, Jed Prouty","Casey and Babe are sisters who work in a department store and each year the store puts on a show. As expected, things are going wrong with every act until Casey comes out to help Babe with ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjExNTY0OTQ2OF5BMl5BanBnXkFtZTcwNzM3NTk5Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,267,tt0020034,movie,N/A,N/A,N/A,N/A,True,
756,The Kiss,1929,Passed,16 Nov 1929,62 min,"Romance, Drama",Jacques Feyder,"George M. Saville (from the story by), Hanns Kräly (scenario), Marian Ainslee (titles)","Greta Garbo, Conrad Nagel, Anders Randolf, Holmes Herbert",An unhappily married woman is caught up in scandal and murder when her affection toward a young man is misinterpreted.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNWRkMGU2MjgtZTEzMy00NzIwLWFkYzEtZTFmMWRiNWQwNjUyXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}]",N/A,6.9,972,tt0020062,movie,16 Apr 2012,N/A,Metro-Goldwyn-Mayer,N/A,True,
757,Laila,1929,Not Rated,12 Oct 1929,165 min,"Drama, Romance",George Schnéevoigt,"Jens Andreas Friis (novel), George Schnéevoigt","Mona Mårtenson, Tryggve Larssen, Harald Schwenzen, Peter Malberg",A spirited Norwegian Lass is torn between two suitors and two cultures.,None,Norway,N/A,https://m.media-amazon.com/images/M/MV5BYmRlYjdmMWMtMzhjZC00ZjViLWFjYmItYjY0MTk1NTVhOGZiXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,7.3,232,tt0020075,movie,N/A,N/A,Lunde Film,N/A,True,
758,The Last Performance,1929,N/A,13 Oct 1929,60 min,"Drama, Horror, Romance",Pál Fejös,"Walter Anthony (titles), James Ashmore Creelman (screenplay), James Ashmore Creelman (story), Tom Reed (titles)","Conrad Veidt, Mary Philbin, Leslie Fenton, Fred MacKaye","A middle-aged magician is in love with his beautiful young assistant. She, on the other hand, is in love with the magician's young protege, who turns out to be a bum and a thief.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzQzOGFjZGItNDZkNC00N2JkLTgwOTEtNWNlNDljNWZkZGZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.7,338,tt0020078,movie,N/A,N/A,N/A,N/A,True,
759,The Last Warning,1928,N/A,25 Dec 1928,89 min,"Horror, Mystery, Thriller",Paul Leni,"Wadsworth Camp (novel), Alfred A. Cohn (screenplay), Alfred A. Cohn (story), Thomas F. Fallon (play), J.G. Hawks (adaptation), Robert F. Hill (adaptation), Tom Reed (screenplay), Tom Reed (titles)","Laura La Plante, Montagu Love, Roy D'Arcy, Margaret Livingston","A producer decides to reopen a theater, that had been closed five years previously when one of the actors was murdered during a performance, by staging a production of the same play with ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMmE3MGJiMjUtMDViZS00NmI5LWFmYzctYTI3NzRjMThiNTlhXkEyXkFqcGdeQXVyMzU4ODM5Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",N/A,6.7,470,tt0020080,movie,N/A,N/A,N/A,N/A,True,
760,The Last of Mrs. Cheyney,1929,Passed,06 Jul 1929,94 min,"Comedy, Drama",Sidney Franklin,Frederick Lonsdale (from the play by),"Norma Shearer, Basil Rathbone, George Barraud, Herbert Bunston","At an elegant gathering of English nobility, young widow Fay Cheyney wins with her beauty, musicality and clever repartee. Cheyney, however, is not who she claims to be.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzc1MjU1MDg3NV5BMl5BanBnXkFtZTgwMTE5NzM2MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,437,tt0020081,movie,N/A,N/A,N/A,N/A,True,
761,The Letter,1929,Passed,07 Sep 1929,65 min,Drama,Jean de Limur,W. Somerset Maugham (stage play),"Jeanne Eagels, Reginald Owen, Herbert Marshall, Irene Browne","Jeanne Eagels plays the bored and restless Leslie Crosbie who turns to another man, Geoffrey Hammond (Herbert Marshall) for attention when neglected by her husband Robert (Reginald Owen). ...",English,USA,Nominated for 1 Oscar. Another 1 win.,https://m.media-amazon.com/images/M/MV5BZWFiM2YxNzYtZjdjMC00MzI4LWI0MjUtNTUxMTAyNmM4NGEwXkEyXkFqcGdeQXVyMTk4MDgwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}]",N/A,6.7,644,tt0020092,movie,20 Dec 2020,N/A,Paramount,N/A,True,
762,Linda,1929,N/A,01 Apr 1929,75 min,Drama,Dorothy Davenport,"Maxine Alton (adaptation), Margaret Prescott Montague (novel), Wilfred Noy, Frank O'Connor (adaptation), Ruth Todd (titles)","Warner Baxter, Helen Foster, Noah Beery, Mitchell Lewis","Circumstances force a young woman to marry a much older man, although she really loves a young doctor.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTcyOTYzMzk2Nl5BMl5BanBnXkFtZTgwODAwODgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,108,tt0020099,movie,N/A,N/A,N/A,N/A,True,
763,The Locked Door,1929,N/A,16 Nov 1929,74 min,"Drama, Mystery, Thriller",George Fitzmaurice,"Channing Pollock (play), C. Gardner Sullivan (screen adaptation)","Rod La Rocque, Barbara Stanwyck, William 'Stage' Boyd, Betty Bronson","On her first anniversary Ann Reagan finds that her sister-in-law is involved with a shady character from her own past, and determines to intervene.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTdhMWI5YzMtYmUyYS00Nzc3LTliMjctNzA3M2VkYjcwZGU1XkEyXkFqcGdeQXVyMTk1MDY0MzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",N/A,6.0,443,tt0020103,movie,N/A,N/A,N/A,N/A,True,
764,The Love Parade,1929,Passed,18 Jan 1930,107 min,"Comedy, Musical, Romance",Ernst Lubitsch,"Ernest Vajda (by), Guy Bolton (by), Leon Xanrof (from the play: ""The Prince Consort""), Jules Chancel (from the play: ""The Prince Consort"")","Maurice Chevalier, Jeanette MacDonald, Lupino Lane, Lillian Roth","The queen of mythical Sylvania marries a courtier, who finds his new life unsatisfying.","English, French",USA,Nominated for 6 Oscars. Another 1 win.,https://m.media-amazon.com/images/M/MV5BNDYyZDJlYTYtMjkwYS00MTM3LTkyNmUtOTZlZGUzMTUyMWE0XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.0,"2,013",tt0020112,movie,N/A,N/A,"Paramount Pictures, Paramount Famous Lasky Corporation",N/A,True,
765,The Love Trap,1929,Passed,04 Aug 1929,71 min,Comedy,William Wyler,"Edward J. Montagne (story), Clarence Thompson (dialogue), Albert DeMond (titles)","Laura La Plante, Neil Hamilton, Robert Ellis, Jocelyn Lee","A chorus girl loses her job and thus the room she owes back rent on, and ends up being rescued from the street by a dashing rich man. But his family isn't over-accepting of chorus girls joining their family.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzg0ZWE1NDktNjE2Ni00ZTZjLWIxYTItYTBlOWMyZjk5YzI3XkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,177,tt0020114,movie,N/A,N/A,N/A,N/A,True,
